Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,482.779999,491.869995,479.230011,488.660004,484.363892,1736000
2021-10-04,487.570007,491.119995,484.000000,486.010010,481.737152,1658500
2021-10-05,487.799988,491.149994,484.420013,486.570007,482.292236,1697300
2021-10-06,482.019989,485.959991,477.339996,485.700012,481.429901,1798100
2021-10-07,489.209991,496.119995,489.200012,492.850006,488.516998,1241900
2021-10-08,493.200012,494.630005,489.839996,489.899994,485.592926,643200
2021-10-11,490.380005,494.070007,487.239990,487.290009,483.005920,695200
2021-10-12,488.320007,492.570007,487.880005,490.200012,485.890320,819500
2021-10-13,490.630005,493.149994,486.450012,492.049988,487.724030,879000
2021-10-14,496.600006,500.690002,495.959991,500.450012,496.050232,893300
2021-10-15,504.239990,506.200012,500.670013,500.920013,496.516083,764900
2021-10-18,498.750000,502.829987,497.480011,501.989990,497.576660,935100
2021-10-19,503.750000,504.899994,501.600006,503.380005,498.954468,607200
2021-10-20,503.200012,508.390015,502.920013,507.290009,502.830109,775900
2021-10-21,506.589996,509.179993,505.489990,508.799988,504.326782,739900
2021-10-22,509.309998,512.450012,507.079987,509.510010,505.030548,678000
2021-10-25,510.420013,513.969971,508.779999,512.190002,507.686981,714700
2021-10-26,513.000000,513.710022,508.790009,508.890015,504.416016,854300
2021-10-27,508.380005,508.940002,500.760010,500.959991,496.555725,878600
2021-10-28,503.109985,509.029999,503.070007,508.869995,504.396179,811300
2021-10-29,508.480011,511.489990,507.089996,509.140015,504.663818,696200
2021-11-01,511.429993,520.020020,510.869995,519.780029,515.210327,1683600
2021-11-02,519.400024,522.090027,517.320007,520.770020,516.191528,963100
2021-11-03,519.419983,528.369995,519.059998,526.609985,521.980225,1346900
2021-11-04,527.469971,530.150024,523.609985,524.900024,520.285278,1165800
2021-11-05,529.119995,533.200012,526.880005,529.559998,524.904297,757800
2021-11-08,532.460022,533.570007,528.770020,529.849976,525.191711,745200
2021-11-09,529.770020,531.049988,527.280029,529.169983,524.517700,765500
2021-11-10,527.830017,529.989990,522.409973,524.450012,519.839233,806600
2021-11-11,525.869995,528.690002,524.539978,527.229980,522.594666,752000
2021-11-12,528.210022,529.760010,527.409973,529.140015,524.487976,656200
2021-11-15,531.369995,531.479980,528.820007,530.090027,525.429626,625400
2021-11-16,529.489990,533.289978,529.169983,531.030029,526.361389,937900
2021-11-17,529.799988,529.799988,523.869995,526.559998,521.930664,1098000
2021-11-18,528.460022,528.750000,522.059998,525.909973,521.286377,959000
2021-11-19,523.349976,525.869995,521.539978,523.580017,518.976868,655900
2021-11-22,526.210022,529.599976,523.880005,524.200012,519.591431,1017700
2021-11-23,523.979980,526.869995,519.349976,523.789978,519.184998,1110800
2021-11-24,520.520020,524.140015,518.840027,523.630005,519.026367,917500
2021-11-26,511.109985,512.369995,502.929993,506.350006,501.898346,1607100
2021-11-29,512.799988,513.419983,504.320007,507.040009,502.582275,1068500
2021-11-30,503.440002,504.269989,492.839996,493.799988,489.458649,1608200
2021-12-01,502.950012,506.769989,485.709991,485.850006,481.578552,1808500
2021-12-02,488.170013,501.190002,487.920013,500.000000,495.604126,2527400
2021-12-03,501.000000,501.980011,489.209991,492.579987,488.249390,1639600
2021-12-06,497.309998,506.410004,494.130005,502.980011,498.557983,1391100
2021-12-07,508.760010,516.030029,508.230011,511.640015,507.141846,1338400
2021-12-08,512.460022,515.330017,510.720001,514.289978,509.768524,1561600
2021-12-09,512.010010,513.320007,506.720001,506.720001,502.265106,1146000
2021-12-10,510.029999,510.859985,503.250000,507.329987,502.869720,1005000
2021-12-13,506.399994,507.170013,500.269989,502.130005,497.715424,1196900
2021-12-14,498.750000,505.130005,498.179993,500.140015,495.742920,1007400
2021-12-15,500.450012,505.720001,494.720001,505.269989,500.827820,1093500
2021-12-16,507.850006,509.019989,496.829987,498.589996,494.206512,1406000
2021-12-17,494.799988,501.420013,491.510010,496.130005,493.240204,1537300
2021-12-20,489.790009,490.170013,481.480011,487.799988,484.958740,2012100
2021-12-21,491.940002,500.850006,491.929993,500.829987,497.912842,1327500
2021-12-22,500.399994,505.839996,499.880005,505.670013,502.724640,1264000
2021-12-23,507.000000,510.260010,505.920013,509.010010,506.045197,1211600
2021-12-27,509.600006,516.049988,507.549988,515.859985,512.855286,914100
2021-12-28,515.520020,519.599976,514.570007,515.739990,512.735962,1209900
2021-12-29,516.000000,519.200012,515.049988,518.539978,515.519653,930900
2021-12-30,519.090027,522.179993,516.780029,517.090027,514.078125,864900
2021-12-31,516.200012,520.229980,515.809998,517.679993,514.664673,790300
2022-01-03,518.950012,522.520020,515.299988,519.190002,516.165894,1905900
2022-01-04,521.099976,524.179993,519.650024,521.700012,518.661255,1723100
2022-01-05,521.650024,523.929993,509.739990,509.829987,506.860413,1900800
2022-01-06,510.679993,515.799988,507.269989,512.469971,509.484985,1987500
2022-01-07,512.250000,515.260010,506.950012,508.519989,505.558014,1692900
2022-01-10,505.970001,506.890015,498.260010,506.529999,503.579620,2391200
2022-01-11,507.019989,511.420013,501.790009,511.359985,508.381470,1570000
2022-01-12,513.210022,515.330017,507.130005,509.750000,506.780884,824400
2022-01-13,511.450012,515.099976,507.149994,508.329987,505.369141,1408800
2022-01-14,504.250000,507.279999,499.690002,506.709991,503.758575,1089200
2022-01-18,501.760010,502.519989,495.089996,495.880005,492.991669,1367000
2022-01-19,498.260010,499.619995,489.149994,489.250000,486.400269,1362300
2022-01-20,491.000000,497.700012,480.279999,480.600006,477.800659,1711700
2022-01-21,478.609985,483.630005,472.100006,472.299988,469.549011,3188600
2022-01-24,466.380005,482.329987,459.320007,481.320007,478.516479,5003700
2022-01-25,474.609985,478.920013,464.089996,472.799988,470.046082,2294700
2022-01-26,478.799988,483.260010,463.269989,467.809998,465.085175,2514600
2022-01-27,472.380005,477.079987,458.519989,460.609985,457.927094,2740500
2022-01-28,461.380005,469.910004,454.750000,469.779999,467.043671,2021200
2022-01-31,467.450012,480.380005,466.570007,480.040009,477.243927,2029800
2022-02-01,481.559998,485.709991,475.369995,484.929993,482.105438,1532100
2022-02-02,485.450012,487.269989,481.230011,484.950012,482.125336,1278400
2022-02-03,480.600006,484.190002,476.649994,477.079987,474.301147,1165600
2022-02-04,476.399994,481.869995,471.399994,478.000000,475.215820,778700
2022-02-07,478.390015,481.410004,475.959991,477.989990,475.205841,1792900
2022-02-08,478.589996,487.820007,478.589996,487.140015,484.302582,1038900
2022-02-09,491.250000,496.089996,491.079987,495.829987,492.941925,1192300
2022-02-10,489.190002,500.549988,486.320007,488.779999,485.933014,1655600
2022-02-11,489.230011,493.089996,479.660004,482.440002,479.629944,1281400
2022-02-14,482.570007,486.890015,477.589996,480.869995,478.069092,1832400
2022-02-15,485.339996,492.019989,485.059998,491.299988,488.438324,1557300
2022-02-16,489.260010,494.390015,487.880005,492.760010,489.889862,1298300
2022-02-17,488.750000,489.739990,481.470001,482.010010,479.202454,1237500
2022-02-18,481.660004,487.089996,478.529999,480.119995,477.323456,1476500
2022-02-22,478.000000,481.829987,470.579987,473.390015,470.632660,1559900
2022-02-23,476.609985,478.160004,464.959991,465.429993,462.719025,1630000
2022-02-24,453.399994,473.179993,452.890015,472.320007,469.568909,1884300
2022-02-25,473.209991,485.760010,471.140015,485.670013,482.841156,2521200
2022-02-28,479.769989,487.929993,479.709991,485.440002,482.612488,2166700
2022-03-01,484.260010,486.609985,472.619995,476.170013,473.396484,2380600
2022-03-02,478.769989,490.839996,478.760010,488.799988,485.952911,2440600
2022-03-03,490.670013,491.179993,481.140015,484.649994,481.827057,1170700
2022-03-04,480.140015,480.970001,472.470001,477.190002,474.410522,1159700
2022-03-07,476.679993,476.700012,459.000000,459.239990,456.565063,1222200
2022-03-08,460.130005,471.510010,456.829987,460.700012,458.016571,1816600
2022-03-09,469.010010,476.190002,468.369995,473.809998,471.050201,1487600
2022-03-10,468.410004,474.630005,466.980011,473.890015,471.129761,1046900
2022-03-11,475.989990,478.679993,468.790009,468.959991,466.228455,2216900
2022-03-14,470.399994,473.100006,462.809998,465.059998,462.351196,884500
2022-03-15,466.799988,472.420013,465.890015,472.029999,469.280579,957600
2022-03-16,477.000000,485.450012,473.329987,485.450012,482.622437,1582400
2022-03-17,482.600006,490.250000,482.339996,490.170013,487.314941,996000
