Date,close,daily_return,share,cash,wealth,wealthlochigh,wealthloclow,peak,spy
2007-10-01,1547.040039,0.01328969313902073,6.463956812949688,0.0,10000.0,10000.0,10000.0,10000.0,10000.0
2007-10-02,1546.630005,-0.0002650442067840819,6.463956812949688,0.0,9997.349557932159,10000.0,10000.0,10000.0,9997.349557932159
2007-10-03,1539.589966,-0.004551857249142088,6.463956812949688,0.0,9951.843049874678,10000.0,9997.349557932159,10000.0,9951.843049874678
2007-10-04,1542.839966,0.0021109516636068637,6.463956812949688,0.0,9972.850909516765,10000.0,9951.843049874678,10000.0,9972.850909516765
2007-10-05,1557.589966,0.00956029162132821,6.463956812949688,0.0,10068.194272507772,10000.0,9951.843049874678,10068.194272507772,10068.194272507772
2007-10-08,1552.579956,-0.0032165140437223627,6.463956812949688,0.0,10035.809784235327,10068.194272507772,9951.843049874678,10068.194272507772,10035.809784235327
2007-10-09,1565.150024,0.00809624518944907,6.463956812949688,0.0,10117.062160923168,10068.194272507772,9951.843049874678,10117.062160923168,10117.062160923168
2007-10-10,1562.469971,-0.001712329782387667,6.463956812949688,0.0,10099.73841407475,10117.062160923168,9951.843049874678,10117.062160923168,10099.73841407475
2007-10-11,1554.410034,-0.005158458818150247,6.463956812949688,0.0,10047.639329391655,10117.062160923168,9951.843049874678,10117.062160923168,10047.639329391655
2007-10-12,1561.800049,0.004754224971761811,6.463956812949688,0.0,10095.408067198705,10117.062160923168,9951.843049874678,10117.062160923168,10095.408067198705
2007-10-15,1548.709961,-0.008381410929255262,6.463956812949688,0.0,10010.794303688996,10117.062160923168,9951.843049874678,10117.062160923168,10010.794303688996
2007-10-16,1538.530029,-0.006573168802651019,6.463956812949688,0.0,9944.99166288223,10117.062160923168,9951.843049874678,10117.062160923168,9944.99166288223
2007-10-17,1541.23999,0.0017613962346652023,6.463956812949688,0.0,9962.508733751009,10117.062160923168,9944.99166288223,10117.062160923168,9962.508733751009
2007-10-18,1540.079956,-0.0007526627958829302,6.463956812949688,0.0,9955.010324073455,10117.062160923168,9944.99166288223,10117.062160923168,9955.010324073455
2007-10-19,1500.630005,-0.02561552135413936,6.463956812949688,0.0,9700.007544536473,10117.062160923168,9944.99166288223,10117.062160923168,9700.007544536473
2007-10-22,1506.329956,0.0037983720044303393,6.463956812949688,0.0,9736.851781636404,10117.062160923168,9700.007544536473,10117.062160923168,9736.851781636404
2007-10-23,1519.589966,0.00880285886049248,6.463956812949688,0.0,9822.563913615684,10117.062160923168,9700.007544536473,10117.062160923168,9822.563913615684
2007-10-24,1515.880005,-0.002441422411971872,6.463956812949688,0.0,9798.582885933956,10117.062160923168,9700.007544536473,10117.062160923168,9798.582885933956
2007-10-25,1514.400024,-0.0009763180430629737,6.463956812949688,0.0,9789.01635266597,10117.062160923168,9700.007544536473,10117.062160923168,9789.01635266597
2007-10-26,1535.280029,0.013787641751912716,6.463956812949688,0.0,9923.983803240144,10117.062160923168,9700.007544536473,10117.062160923168,9923.983803240144
2007-10-29,1540.97998,0.0037126458315963617,6.463956812949688,0.0,9960.828040340073,10117.062160923168,9700.007544536473,10117.062160923168,9960.828040340073
2007-10-30,1531.02002,-0.006463393508850168,6.463956812949688,0.0,9896.447289041367,10117.062160923168,9700.007544536473,10117.062160923168,9896.447289041367
2007-10-31,1549.380005,0.011991995375736586,6.463956812949688,0.0,10015.12543916777,10117.062160923168,,10117.062160923168,10015.12543916777
2007-11-01,1508.439941,-0.026423513836426382,6.463956812949688,0.0,9750.490633552376,10117.062160923168,,10117.062160923168,9750.490633552376
2007-11-02,1509.650024,0.0008022082730041458,6.463956812949688,0.0,9758.31255780446,10117.062160923168,,10117.062160923168,9758.31255780446
2007-11-05,1502.170044,-0.0049547775186866705,6.463956812949688,0.0,9709.962290122732,10117.062160923168,,10117.062160923168,9709.962290122732
2007-11-06,1520.27002,0.012049219109577791,6.463956812949688,0.0,9826.959753302157,10117.062160923168,,10117.062160923168,9826.959753302157
2007-11-07,1475.619995,-0.029369799057143764,6.463956812949688,0.0,9538.343920005034,10099.73841407475,,10117.062160923168,9538.343920005034
2007-11-08,1474.77002,-0.0005760121188924661,6.463956812949688,0.0,9532.849718312946,10095.408067198705,,10117.062160923168,9532.849718312946
2007-11-09,1453.699951,-0.014287020155183128,6.463956812949688,0.0,9396.653702251077,10095.408067198705,,10117.062160923168,9396.653702251077
2007-11-12,1439.180054,-0.009988235185680483,6.463956812949688,0.0,9302.797715114599,10015.12543916777,,10117.062160923168,9302.797715114599
2007-11-13,1481.050049,0.029092951145083035,6.463956812949688,0.0,9573.443554553018,10015.12543916777,,10117.062160923168,9573.443554553018
2007-11-14,1470.579956,-0.007069371495628585,6.463956812949688,0.0,9505.765325573451,10015.12543916777,,10117.062160923168,9505.765325573451
2007-11-15,1451.150024,-0.013212428144913413,6.463956812949688,0.0,9380.171084246904,10015.12543916777,,10117.062160923168,9380.171084246904
2007-11-16,1458.73999,0.005230311046048097,6.463956812949688,0.0,9429.23229668266,10015.12543916777,,10117.062160923168,9429.23229668266
2007-11-19,1433.27002,-0.017460253489040345,6.463956812949688,0.0,9264.595510575535,10015.12543916777,,10117.062160923168,9264.595510575535
2007-11-20,1439.699951,0.0044861965367839485,6.463956812949688,0.0,9306.158306869782,10015.12543916777,,10117.062160923168,9306.158306869782
2007-11-21,1416.77002,-0.01592688183678359,6.463956812949688,0.0,9157.940223161864,10015.12543916777,,10117.062160923168,9157.940223161864
2007-11-23,1440.699951,0.016890483749790297,6.463956812949688,0.0,9312.622263682732,10015.12543916777,,10117.062160923168,9312.622263682732
2007-11-26,1407.219971,-0.02323869031630177,6.463956812949688,0.0,9096.209118864312,10015.12543916777,,10117.062160923168,9096.209118864312
2007-11-27,1428.22998,0.014930152664810459,6.463956812949688,0.0,9232.016909679996,10015.12543916777,,10117.062160923168,9232.016909679996
2007-11-28,1469.02002,0.028559854204992963,6.463956812949688,0.0,9495.681966638485,10015.12543916777,9096.209118864312,10117.062160923168,9495.681966638485
2007-11-29,1469.719971,0.00047647478623202844,6.463956812949688,0.0,9500.206419673666,10015.12543916777,9096.209118864312,10117.062160923168,9500.206419673666
2007-11-30,1481.140015,0.007770217609705421,6.463956812949688,0.0,9574.025090891651,9826.959753302157,9096.209118864312,10117.062160923168,9574.025090891651
