Date,stock1,stock2,spread,zscore,position,pnl
2001-02-09,75.102478,37.492626,-3.9562554148066624,-0.31071001511624385,0.0,-0.0
2001-02-12,75.898521,38.329201,-4.924254226828367,-0.5259060976635871,0.0,0.0
2001-02-13,75.465073,37.967949,-4.595949087329259,-0.4529204916659809,0.0,-0.0
2001-02-14,75.701492,38.367199,-5.201407615882786,-0.5875201439294759,0.0,0.0
2001-02-15,76.44239,38.557334999999995,-4.861439423695046,-0.5119417214759331,0.0,-0.0
2001-02-16,75.031548,37.724594,-4.516324166324523,-0.43521905354378543,0.0,-0.0
2001-02-20,73.770515,37.2873,-4.85525825092995,-0.510567583255847,0.0,0.0
2001-02-21,72.78535500000001,36.63707,-4.469312363913389,-0.42476784679980545,0.0,-0.0
2001-02-22,72.154831,36.123749,-4.017423302336368,-0.3243082650423957,0.0,-0.0
2001-02-23,72.233612,36.199791,-4.098988078231855,-0.34244095283971,0.0,0.0
2001-02-26,74.12518299999999,36.998314,-3.8912206342322264,-0.29625211513213634,0.0,-0.0
2001-02-27,72.627678,36.332886,-3.9855725219709512,-0.31722750928568316,0.0,0.0
2001-02-28,71.524338,35.800518,-3.966336050785003,-0.31295104407741997,0.0,-0.0
2001-03-01,71.80017099999999,36.047703000000006,-4.211729091850785,-0.3675044386331888,0.0,0.0
2001-03-02,72.391258,36.142757,-3.821077474691421,-0.2806585700128515,0.0,-0.0
2001-03-05,72.391258,36.009655,-3.54041227041958,-0.21826381113860627,0.0,-0.0
2001-03-06,73.45528399999999,36.542015,-3.598945872425233,-0.2312764323242606,0.0,0.0
2001-03-07,73.928139,36.732143,-3.527003811057213,-0.21528297284423872,0.0,-0.0
2001-03-08,73.234573,36.427933,-3.579098144278845,-0.22686407841274406,0.0,0.0
2001-03-09,71.94205500000001,35.781731,-3.5090038895353217,-0.21128140533241435,0.0,-0.0
2001-03-12,68.99436999999999,34.768208,-4.319526113399718,-0.3914688241877052,0.0,0.0
2001-03-13,69.884941,35.130184,-4.192234913714515,-0.3631706825218111,0.0,-0.0
2001-03-14,68.553032,34.291927,-3.7565553565380867,-0.26631464015279804,0.0,-0.0
2001-03-15,68.285027,34.158566,-3.743349012554546,-0.26337873418397245,0.0,-0.0
2001-03-16,66.450592,33.529892,-4.252132131813511,-0.37648644957680083,0.0,0.0
2001-03-19,68.424782,34.406234999999995,-4.125840639027487,-0.34841055302704454,0.0,-0.0
2001-03-20,66.537483,33.606102,-4.325941160494963,-0.3928949550745503,0.0,0.0
2001-03-21,65.22665400000001,33.091724,-4.552128258472891,-0.44317867113195253,0.0,0.0
2001-03-22,64.55540500000001,32.767841,-4.5404221687283695,-0.4405762870962662,0.0,-0.0
2001-03-23,66.292686,33.625141,-4.610884700923577,-0.4562408320383263,0.0,0.0
2001-03-26,67.12183399999999,34.082382,-4.745896808709048,-0.48625541091080693,0.0,0.0
2001-03-27,67.729889,34.356709,-4.716300761183689,-0.47967590543286065,0.0,-0.0
2001-03-28,66.253197,33.434631,-4.248655258933027,-0.37571350500899453,0.0,-0.0
2001-03-29,66.253197,33.491783,-4.369168682882645,-0.4025048774840915,0.0,0.0
2001-03-30,66.64805600000001,34.139526000000004,-5.340171363478376,-0.6183687508815779,0.0,0.0
2001-04-02,64.950264,33.33939,-5.350758559003239,-0.6207223932350793,0.0,0.0
2001-04-03,63.015575,32.207752,-4.899221879210501,-0.5203411495692011,0.0,-0.0
2001-04-04,62.802376,32.310627000000004,-5.329347994426392,-0.6159626047262056,0.0,0.0
2001-04-05,65.7873,33.872807,-5.638511001453921,-0.6846927179811267,0.0,0.0
2001-04-06,64.752815,32.92025,-4.6643890309683655,-0.46813539438898794,0.0,-0.0
2001-04-09,65.81100500000001,33.644211,-5.132777609425801,-0.5722629882890712,0.0,0.0
