Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,82.250000,82.250000,78.812500,80.093750,62.596531,696800
2000-01-04,79.437500,79.546875,76.937500,77.375000,60.471733,1959700
2000-01-05,77.406250,78.625000,76.000000,78.125000,61.057896,1249700
2000-01-06,77.375000,78.750000,77.375000,77.437500,60.520573,404900
2000-01-07,78.000000,81.000000,77.875000,81.000000,63.304813,416700
2000-01-10,81.312500,82.875000,81.062500,82.625000,64.574837,520200
2000-01-11,82.125000,82.125000,79.875000,80.156250,62.645401,700300
2000-01-12,80.437500,80.562500,79.062500,79.375000,62.034790,627300
2000-01-13,79.906250,81.812500,79.906250,81.312500,63.549038,701800
2000-01-14,82.562500,83.187500,82.062500,82.562500,64.525986,628000
2000-01-18,81.875000,82.750000,81.625000,82.593750,64.550415,857100
2000-01-19,82.531250,83.406250,82.062500,83.000000,64.867928,449200
2000-01-20,83.562500,83.687500,82.187500,83.000000,64.867928,853200
2000-01-21,83.500000,83.546875,82.531250,83.000000,64.867928,302000
2000-01-24,84.437500,84.437500,80.875000,81.000000,63.304813,1189600
2000-01-25,81.687500,81.687500,79.750000,81.062500,63.353668,1236800
2000-01-26,81.562500,82.375000,80.875000,80.875000,63.207123,1013400
2000-01-27,81.656250,82.406250,79.875000,81.296875,63.536846,901400
2000-01-28,80.625000,81.250000,78.437500,78.687500,61.497494,1011400
2000-01-31,79.187500,79.531250,77.406250,79.312500,61.985966,706800
2000-02-01,79.562500,80.375000,78.765625,80.125000,62.620983,929300
2000-02-02,80.468750,81.656250,80.437500,81.000000,63.304813,683700
2000-02-03,81.781250,82.312500,80.625000,82.187500,64.232925,634000
2000-02-04,82.312500,82.750000,81.312500,81.468750,63.671169,659300
2000-02-07,81.687500,82.187500,81.437500,82.187500,64.232925,423900
2000-02-08,83.000000,83.312500,82.312500,83.000000,64.867928,1022300
2000-02-09,83.375000,83.375000,81.062500,81.500000,63.695568,1005600
2000-02-10,82.031250,82.906250,81.750000,82.625000,64.574837,1147200
2000-02-11,82.906250,83.062500,80.937500,81.562500,63.744446,1719100
2000-02-14,81.937500,82.125000,80.812500,81.750000,63.890991,705900
2000-02-15,81.375000,82.187500,80.171875,81.875000,63.988708,476400
2000-02-16,81.750000,82.625000,81.625000,81.781250,63.915394,481400
2000-02-17,82.562500,83.437500,81.937500,83.000000,64.867928,348300
2000-02-18,83.171875,83.171875,80.187500,80.437500,62.865231,562500
2000-02-22,80.625000,81.062500,79.062500,80.375000,62.816368,809500
2000-02-23,80.906250,82.531250,80.437500,82.062500,64.135201,1373600
2000-02-24,82.500000,83.062500,81.250000,83.000000,64.867928,638500
2000-02-25,82.687500,83.562500,81.875000,82.000000,64.086334,564100
2000-02-28,82.031250,82.875000,80.500000,82.562500,64.525986,566600
2000-02-29,83.500000,85.500000,83.500000,85.500000,66.821747,756200
2000-03-01,85.875000,86.562500,85.375000,86.312500,67.456764,547400
2000-03-02,86.375000,86.796875,85.312500,85.687500,66.968269,399600
2000-03-03,86.687500,88.250000,86.437500,88.093750,68.848923,658700
2000-03-06,88.156250,89.125000,87.500000,88.468750,69.141968,546600
2000-03-07,89.187500,89.218750,86.875000,87.375000,68.287163,629800
2000-03-08,88.000000,88.437500,85.437500,87.250000,68.189453,888600
2000-03-09,87.437500,89.062500,86.875000,89.000000,69.557167,245600
2000-03-10,89.000000,90.437500,88.875000,89.375000,69.850243,1713000
2000-03-13,86.250000,88.437500,85.750000,86.250000,67.407913,252700
2000-03-14,87.312500,88.125000,83.875000,84.187500,65.795975,685500
2000-03-15,84.062500,84.968750,83.000000,84.125000,65.747139,853900
2000-03-16,85.218750,89.625000,84.375000,89.156250,69.679298,1220900
2000-03-17,88.875000,90.000000,88.562500,90.000000,70.480179,1274300
2000-03-20,89.437500,90.250000,87.000000,87.125000,68.228775,532100
2000-03-21,86.843750,88.750000,85.187500,88.500000,69.305511,732900
2000-03-22,89.187500,91.125000,89.000000,90.687500,71.018608,602400
2000-03-23,90.687500,91.843750,90.250000,91.250000,71.459099,572800
2000-03-24,91.625000,93.031250,90.687500,91.812500,71.899612,437600
2000-03-27,92.000000,92.500000,90.937500,91.468750,71.630409,317800
2000-03-28,91.312500,91.750000,89.500000,89.500000,70.088623,275100
2000-03-29,90.250000,90.250000,87.593750,88.250000,69.109741,805500
2000-03-30,89.250000,90.437500,87.125000,88.125000,69.011848,1116000
2000-03-31,90.250000,91.812500,88.187500,91.250000,71.459099,2444300
2000-04-03,91.125000,91.312500,87.781250,87.875000,68.816093,830500
2000-04-04,88.750000,88.843750,81.000000,87.437500,68.473473,1451100
2000-04-05,86.312500,89.000000,85.125000,87.343750,68.400047,522000
2000-04-06,88.500000,89.750000,87.500000,89.218750,69.868393,843200
2000-04-07,90.062500,90.312500,89.437500,90.000000,70.480179,453100
2000-04-10,90.250000,90.250000,86.875000,86.875000,68.032990,418200
2000-04-11,85.875000,88.375000,85.062500,87.093750,68.204292,683700
2000-04-12,87.500000,88.000000,85.437500,85.500000,66.956200,525200
2000-04-13,86.250000,87.125000,84.625000,84.750000,66.368851,457400
2000-04-14,83.562500,83.875000,78.000000,79.000000,61.865978,1557300
2000-04-17,77.687500,82.750000,77.687500,82.000000,64.215302,1659500
2000-04-18,82.250000,85.125000,81.562500,85.125000,66.662552,2134800
2000-04-19,85.250000,85.500000,84.000000,84.625000,66.270981,613100
2000-04-20,84.875000,85.500000,83.625000,84.812500,66.417816,337500
2000-04-24,82.937500,84.062500,82.343750,83.312500,65.243126,438000
2000-04-25,84.812500,87.156250,84.750000,87.156250,68.253258,642900
2000-04-26,87.250000,87.750000,85.875000,86.125000,67.445663,1107100
2000-04-27,84.875000,87.250000,84.437500,87.250000,68.326622,896800
2000-04-28,88.125000,89.125000,87.250000,88.375000,69.207642,650800
2000-05-01,88.937500,90.250000,88.578125,89.625000,70.186546,687700
2000-05-02,89.125000,89.687500,86.906250,86.906250,68.057472,682900
2000-05-03,86.843750,87.062500,84.250000,85.656250,67.078560,384000
2000-05-04,86.250000,88.218750,85.937500,88.062500,68.962952,2003000
2000-05-05,87.812500,89.500000,87.562500,89.437500,70.039688,361300
2000-05-08,88.562500,89.500000,88.250000,88.312500,69.158699,643900
2000-05-09,89.062500,89.125000,87.000000,87.625000,68.620285,1032500
2000-05-10,87.375000,87.375000,85.000000,85.375000,66.858315,586400
2000-05-11,86.250000,87.500000,85.625000,87.500000,68.522423,387100
2000-05-12,88.062500,89.000000,87.562500,87.562500,68.571350,508900
2000-05-15,88.062500,88.875000,86.750000,88.625000,69.403412,373000
2000-05-16,89.750000,90.406250,89.000000,89.906250,70.406776,696200
2000-05-17,88.500000,89.687500,88.250000,89.281250,69.917336,289200
2000-05-18,89.187500,89.562500,87.937500,88.937500,69.648163,332400
2000-05-19,87.062500,87.562500,85.875000,86.000000,67.347740,184200
2000-05-22,86.437500,86.437500,83.500000,84.937500,66.515671,430200
2000-05-23,84.937500,85.875000,83.625000,83.625000,65.487839,270400
2000-05-24,83.875000,85.187500,82.218750,85.000000,66.564636,1887000
2000-05-25,85.375000,86.187500,84.093750,84.250000,65.977318,929000
2000-05-26,84.562500,84.968750,83.812500,84.375000,66.075203,310400
2000-05-30,85.625000,87.093750,85.375000,87.062500,68.179810,597600
2000-05-31,87.250000,88.375000,87.000000,87.687500,68.669258,490500
2000-06-01,88.562500,90.312500,88.312500,90.250000,70.675980,240900
2000-06-02,92.437500,93.000000,91.937500,92.500000,72.437981,1722600
2000-06-05,92.062500,93.125000,90.750000,91.250000,71.459099,966700
2000-06-06,91.437500,92.484375,90.375000,90.562500,70.920700,382400
2000-06-07,91.000000,91.343750,89.875000,91.343750,71.532494,729600
2000-06-08,91.750000,91.750000,90.000000,90.375000,70.773895,721500
2000-06-09,91.000000,91.812500,90.781250,91.250000,71.459099,350800
2000-06-12,92.000000,92.000000,89.562500,89.750000,70.284409,1287800
2000-06-13,89.812500,90.906250,89.031250,90.015625,70.492393,644400
2000-06-14,91.500000,91.531250,89.750000,89.750000,70.284409,1103300
2000-06-15,90.156250,91.437500,89.531250,91.218750,71.434601,1283400
2000-06-16,91.062500,91.687500,90.500000,91.000000,71.425392,631900
2000-06-19,90.781250,92.468750,90.343750,92.250000,72.406532,672300
2000-06-20,92.500000,93.187500,91.875000,92.812500,72.847984,848100
