Date,MSFT,IWM,Ret,cumsum,cummax,drawdown,drawdays
2019-12-17,-0.005400870228139398,0.005003516269435959,-0.010404386497575357,-0.010404386497575357,-0.010404386497575357,0.0,0
2019-12-18,-0.0020685843355141564,0.0019429727253927886,-0.004011557060906945,-0.014415943558482303,-0.010404386497575357,-0.00405373367279696,1
2019-12-19,0.008680374706641958,0.004302453050832877,0.0043779216558090805,-0.010038021902673222,-0.010038021902673222,0.0,0
2019-12-20,0.010917798979669602,0.00144805251084823,0.009469746468821372,-0.0005682754338518503,-0.0005682754338518503,0.0,0
2019-12-23,0.0,0.0019884445821976016,-0.0019884445821976016,-0.002556720016049452,-0.0005682754338518503,-0.001989575208912627,1
2019-12-24,-0.00019063950772102434,0.0022849312269095368,-0.002475570734630561,-0.005032290750680013,-0.0005682754338518503,-0.004466553549484318,2
2019-12-26,0.008196698836716143,0.0,0.008196698836716143,0.00316440808603613,0.00316440808603613,0.0,0
2019-12-27,0.001827673258513629,-0.004919563197841925,0.006747236456355554,0.009911644542391684,0.009911644542391684,0.0,0
2019-12-30,-0.008618508692078142,-0.002532133480504517,-0.006086375211573625,0.0038252693308180596,0.009911644542391684,-0.006026641285368549,1
2019-12-31,0.0006979758993905794,0.0013901570924239603,-0.000692181193033381,0.0031330881377846787,0.009911644542391684,-0.006712029157440289,2
2020-01-02,0.018516158828926432,0.0006639820581895162,0.017852176770736916,0.020985264908521595,0.020985264908521595,0.0,0
2020-01-03,-0.012451650513348178,-0.003920939270918855,-0.008530711242429323,0.012454553666092272,0.020985264908521595,-0.008355371556898679,1
2020-01-06,0.002584786457153987,0.0013324990640635193,0.0012522873930904677,0.01370684105918274,0.020985264908521595,-0.007128823597655926,2
2020-01-07,-0.009117672868395044,-0.003326526747326697,-0.005791146121068347,0.007915694938114393,0.020985264908521595,-0.012800938876995656,3
2020-01-08,0.015928218028227192,0.0030947514593804293,0.012833466568846763,0.020749161506961156,0.020985264908521595,-0.00023125054755965895,4
2020-01-09,0.01249296809168321,0.0012098877414963294,0.01128308035018688,0.032032241857148036,0.032032241857148036,0.0,0
2020-01-10,-0.004627083852260738,-0.003746006407465141,-0.0008810774447955971,0.03115116441235244,0.032032241857148036,-0.0008537305416060385,1
2020-01-13,0.012024386514525753,0.006489131785941904,0.005535254728583849,0.03668641914093629,0.03668641914093629,0.0,0
2020-01-14,-0.007043177779715082,0.0036756914973521404,-0.010718869277067222,0.025967549863869066,0.03668641914093629,-0.010339548275311212,1
2020-01-15,0.006476339123900665,0.004802665668244943,0.001673673455655722,0.027641223319524788,0.03668641914093629,-0.008725103034442103,2
2020-01-16,0.018323366824828158,0.012905720098213225,0.005417646726614933,0.03305887004613972,0.03668641914093629,-0.003499176827070411,3
2020-01-17,0.005596621930522128,-0.0027134186542687733,0.008310040584790901,0.04136891063093062,0.04136891063093062,0.0,0
2020-01-21,-0.003590625314827789,-0.008280682050777033,0.004690056735949244,0.046058967366879866,0.046058967366879866,0.0,0
2020-01-22,-0.004804786880254208,-0.0006561535382182404,-0.004148633342035968,0.0419103340248439,0.046058967366879866,-0.003965965085581008,1
2020-01-23,0.006155704246108673,-0.0006564927010198618,0.006812196947128535,0.04872253097197243,0.04872253097197243,0.0,0
2020-01-24,-0.01007683402656967,-0.0123019723867408,0.0022251383601711305,0.050947669332143564,0.050947669332143564,0.0,0
2020-01-27,-0.016723193942277503,-0.011367174748688647,-0.005356019193588857,0.04559165013855471,0.050947669332143564,-0.00509637097058553,1
2020-01-28,0.019595770273362678,0.008317365169683955,0.011278405103678724,0.05687005524223343,0.05687005524223343,0.0,0
2020-01-29,0.015592849876123305,-0.0057014249109571535,0.02129427478708046,0.07816433002931389,0.07816433002931389,0.0,0
2020-01-30,0.02820763306968188,0.0,0.02820763306968188,0.10637196309899577,0.10637196309899577,0.0,0
2020-01-31,-0.01475864962656992,-0.020740478741066992,0.0059818291144970726,0.11235379221349284,0.11235379221349284,0.0,0
2020-02-03,0.02437874333485679,0.011150553458775025,0.013228189876081764,0.1255819820895746,0.1255819820895746,0.0,0
2020-02-04,0.032916589897559634,0.015093702825732747,0.017822887071826887,0.1434048691614015,0.1434048691614015,0.0,0
2020-02-05,-0.0012213415947215367,0.015415328102797776,-0.016636669697519313,0.12676819946388218,0.1434048691614015,-0.014550112690810052,1
2020-02-06,0.020733751501867737,-0.0022712359073328026,0.02300498740920054,0.14977318687308272,0.14977318687308272,0.0,0
2020-02-07,0.0014158326316147107,-0.012280485648934913,0.013696318280549624,0.16346950515363234,0.16346950515363234,0.0,0
2020-02-10,0.026156959485856612,0.005640526222580267,0.020516433263276346,0.1839859384169087,0.1839859384169087,0.0,0
2020-02-11,-0.022575451082906706,0.006935454015933207,-0.029510905098839912,0.15447503331806878,0.1839859384169087,-0.02492504694633328,1
2020-02-12,0.0014638702915561463,0.006887868768237215,-0.005423998476681069,0.1490510348413877,0.1839859384169087,-0.02950618114792137,2
2020-02-13,-0.005413807373774615,0.002617294324014585,-0.0080311016977892,0.1410199331435985,0.1839859384169087,-0.03628928678896257,3
2020-02-14,0.008926998970114397,-0.0038563198287371314,0.012783318798851528,0.15380325194245004,0.1839859384169087,-0.025492436603441006,4
2020-02-18,0.010143044712362936,-0.002144146323753593,0.01228719103611653,0.16609044297856657,0.1839859384169087,-0.015114618221116666,5
2020-02-19,0.0029990872920333533,0.005133026911505745,-0.0021339396194723914,0.16395650335909417,0.1839859384169087,-0.01691695349405551,6
