Date,sp1,nav
2001-12-07,-4.089338054450494,-4.089338054450494
2001-12-10,-3.857172033342991,-3.857172033342991
2001-12-11,-4.174927199587131,-4.174927199587131
2001-12-12,-4.573763452837937,-4.573763452837937
2001-12-13,-4.436333636957244,-4.436333636957244
2001-12-14,-4.225408303702395,-4.225408303702395
2001-12-17,-5.1300988195872606,-5.1300988195872606
2001-12-18,-5.113604698946418,-5.113604698946418
2001-12-19,-4.568831534622802,-4.568831534622802
2001-12-20,-4.1453815319181615,-4.1453815319181615
2001-12-21,-5.220516762838571,-5.220516762838571
2001-12-24,-4.909934413981972,-4.909934413981972
2001-12-26,-5.154303096004881,-5.154303096004881
2001-12-27,-5.009758825327324,-5.009758825327324
2001-12-28,-4.931962908436475,-4.931962908436475
2001-12-31,-4.388520639162294,-4.388520639162294
2002-01-02,-5.110302255978226,-5.110302255978226
2002-01-03,-5.259464251539427,-5.259464251539427
2002-01-04,-5.376728749852916,-5.376728749852916
2002-01-07,-4.532146402399704,-4.532146402399704
2002-01-08,-5.504493468996486,-5.504493468996486
2002-01-09,-4.931962908436475,-4.931962908436475
2002-01-10,-4.981384371600413,-4.981384371600413
2002-01-11,-5.041380882075998,-5.041380882075998
2002-01-14,-4.819093976356385,-4.819093976356385
2002-01-15,-4.6787296207673705,-4.6787296207673705
2002-01-16,-4.829586523129066,-4.829586523129066
2002-01-17,-4.010612227816949,-4.010612227816949
2002-01-18,-3.7526143037024013,-3.7526143037024013
2002-01-22,-3.62369047246483,-3.62369047246483
2002-01-23,-3.7322839142786677,-3.7322839142786677
2002-01-24,-3.6172588834794084,-3.6172588834794084
2002-01-25,-3.4412659188726877,-3.4412659188726877
2002-01-28,-3.6739076842484906,-3.6739076842484906
2002-01-29,-3.6463823715337753,-3.6463823715337753
2002-01-30,-3.72920368745271,-3.72920368745271
2002-01-31,-4.306575762838577,-4.306575762838577
2002-02-01,-4.2181712237089215,-4.2181712237089215
2002-02-04,-3.7922074912708013,-3.7922074912708013
2002-02-05,-3.6829930670283204,-3.6829930670283204
2002-02-06,-3.284625638191855,-3.284625638191855
2002-02-07,-3.0982313881346926,-3.0982313881346926
2002-02-08,-2.954489757429286,-2.954489757429286
2002-02-11,-2.563776974886352,-2.563776974886352
2002-02-12,-3.1948592741377126,-3.1948592741377126
2002-02-13,-2.9788356958307673,-2.9788356958307673
2002-02-14,-2.2758537717161857,-2.2758537717161857
2002-02-15,-2.766326319223893,-2.766326319223893
2002-02-19,-2.633550922745272,-2.633550922745272
2002-02-20,-2.626990543500426,-2.626990543500426
2002-02-21,-2.356210021375915,-2.356210021375915
2002-02-22,-2.8199932371056065,-2.8199932371056065
2002-02-25,-2.2651793958443562,-2.2651793958443562
2002-02-26,-2.335897035574291,-2.335897035574291
2002-02-27,-2.009130187169589,-2.009130187169589
2002-02-28,-2.0325917574292873,-2.0325917574292873
2002-03-01,-2.014348021442572,-2.014348021442572
2002-03-04,-1.5381265230405319,-1.5381265230405319
2002-03-05,-1.8357323218400126,-1.8357323218400126
2002-03-06,-1.6562248772261796,-1.6562248772261796
2002-03-07,-2.0393237873846033,-2.0393237873846033
2002-03-08,-2.2591040484853693,-2.2591040484853693
2002-03-11,-2.4264021112299616,-2.4264021112299616
