Date,Open,High,Low,Close,Adj Close,Volume,Price1,mvAvg20,mvAvg50,Hold,PnL,TotalReturn,TotalReturnPct,SpyPnL,SpyTotalReturn,SpyTotalReturnPct
1990-03-13,338.670013,338.670013,335.359985,336.0,336.0,145440000,336.869995,332.83700254999997,335.75500123999996,0,0.0,0.0,-1.0,0.8699950000000172,-22.820006999999976,-1.0634435399180209
1990-03-14,336.0,337.630005,334.929993,336.869995,336.869995,145060000,338.070007,333.12950285,335.29860110000004,0,0.0,0.0,-1.0,1.2000119999999583,-21.619995000000017,-1.060107300396968
1990-03-15,336.869995,338.910004,336.869995,338.070007,338.070007,144410000,341.910004,333.43250270000004,334.88480103999996,0,0.0,0.0,-1.0,3.8399970000000394,-17.779997999999978,-1.049431449028711
1990-03-16,338.070007,341.910004,338.070007,341.910004,341.910004,222520000,343.529999,333.78350215,334.60960086,0,0.0,0.0,-1.0,1.6199949999999603,-16.160003000000017,-1.044927584614932
1990-03-19,341.910004,343.76001,339.119995,343.529999,343.529999,142300000,341.570007,334.32400205,334.4362006,0,0.0,0.0,-1.0,-1.9599919999999997,-18.119995000000017,-1.05037669909991
1990-03-20,343.529999,344.48999,340.869995,341.570007,341.570007,177320000,339.73999,335.0030029,334.19180056,1,-1.830016999999998,-1.830016999999998,-1.0050877616553824,-1.830016999999998,-19.950012000000015,-1.0554644607552923
1990-03-21,341.570007,342.339996,339.559998,339.73999,339.73999,130990000,335.690002,335.60650175,333.99420046,1,-4.049987999999985,-5.880004999999983,-1.0163474240799164,-4.049987999999985,-24.0,-1.0667241231798263
1990-03-22,339.73999,339.769989,333.619995,335.690002,335.690002,175930000,337.220001,336.10600124999996,333.76180054,1,1.529999000000032,-4.350005999999951,-1.0120937640073742,1.529999000000032,-22.470000999999968,-1.062470463107284
1990-03-23,335.690002,337.579987,335.690002,337.220001,337.220001,132070000,337.630005,336.7595016,333.53560058000005,1,0.41000399999995807,-3.9400019999999927,-1.0109538824490318,0.41000399999995807,-22.05999700000001,-1.0613305815489418
1990-03-26,337.220001,339.73999,337.220001,337.630005,337.630005,116110000,341.5,337.2075012,333.48960081999996,1,3.869995000000017,-0.0700069999999755,-1.0001946314871437,3.869995000000017,-18.190001999999993,-1.0505713305870537
1990-03-27,337.630005,341.5,337.029999,341.5,341.5,131610000,342.0,337.76950070000004,333.57960082,1,0.5,0.4299930000000245,-0.9988045455875639,0.5,-17.690001999999993,-1.049181244687474
1990-03-28,341.5,342.579987,340.600006,342.0,342.0,142300000,340.790009,338.27499995000005,333.60460082,1,-1.2099910000000023,-0.7799979999999778,-1.0021685284430006,-1.2099910000000023,-18.899992999999995,-1.0525452275429106
1990-03-29,342.0,342.070007,339.769989,340.790009,340.790009,132190000,339.940002,338.6775009,333.67240112,1,-0.8500070000000051,-1.6300049999999828,-1.0045316939334887,-0.8500070000000051,-19.75,-1.054908393033399
1990-03-30,340.790009,341.410004,338.209991,339.940002,339.940002,139340000,338.700012,338.89750055,333.70740112,1,-1.2399899999999775,-2.8699949999999603,-1.0079790791627286,-1.2399899999999775,-20.989989999999977,-1.0583557782626385
1990-04-02,339.940002,339.940002,336.329987,338.700012,338.700012,124360000,343.640015,339.14550165,333.69840148000003,1,4.94000299999999,2.07000800000003,-0.9942450221343655,4.94000299999999,-16.049986999999987,-1.0446217212342754
1990-04-03,338.700012,343.76001,338.700012,343.640015,343.640015,154310000,341.089996,339.43100275,333.96360168,1,-2.5500190000000202,-0.4800109999999904,-1.0013345130454863,-2.5500190000000202,-18.600006000000008,-1.0517112121453962
1990-04-04,343.640015,344.119995,340.399994,341.089996,341.089996,159530000,340.730011,339.63800195,334.1532019,1,-0.35998499999999467,-0.8399959999999851,-1.0023353331906066,-0.35998499999999467,-18.959991000000002,-1.0527120322905166
1990-04-05,341.089996,342.850006,340.630005,340.730011,340.730011,144170000,340.079987,339.66100305,334.36260192000003,1,-0.6500239999999735,-1.4900199999999586,-1.0041425115841833,-0.6500239999999735,-19.610014999999976,-1.0545192106840935
