Date,S&P,VIX
8/8/2000,1482.800049,18.790001
8/9/2000,1472.869995,19.18
8/10/2000,1460.25,19.190001
8/11/2000,1471.839966,18.549999
8/14/2000,1491.560059,17.879999
8/15/2000,1484.430054,17.98
8/16/2000,1479.849976,18.02
8/17/2000,1496.069946,17.48
8/18/2000,1491.719971,17.049999
8/21/2000,1499.47998,17.35
8/22/2000,1498.130005,17.469999
8/23/2000,1505.969971,17.379999
8/24/2000,1508.310059,17.040001
8/25/2000,1506.449951,16.530001
8/28/2000,1514.089966,16.540001
8/29/2000,1509.839966,16.889999
8/30/2000,1502.589966,17.690001
8/31/2000,1517.680054,16.84
9/1/2000,1520.77002,17.530001
9/5/2000,1507.079956,19.82
9/6/2000,1492.25,20.790001
9/7/2000,1502.51001,19.42
9/8/2000,1494.5,18.459999
9/11/2000,1489.26001,18.4
9/12/2000,1481.98999,18.59
9/13/2000,1484.910034,18.32
9/14/2000,1480.869995,18.26
9/15/2000,1465.810059,18.52
9/18/2000,1444.51001,20.25
9/19/2000,1459.900024,19.540001
9/20/2000,1451.339966,19.93
9/21/2000,1449.050049,20.18
9/22/2000,1448.719971,20.74
9/25/2000,1439.030029,21.41
9/26/2000,1427.209961,21.879999
9/27/2000,1426.569946,21.67
9/28/2000,1458.290039,19.469999
9/29/2000,1436.51001,20.57
10/2/2000,1436.22998,21.23
10/3/2000,1426.459961,21.85
10/4/2000,1434.319946,21.540001
10/5/2000,1436.280029,21.030001
10/6/2000,1408.98999,22.709999
10/9/2000,1402.030029,24.02
10/10/2000,1387.02002,24.860001
10/11/2000,1364.589966,26.57
10/12/2000,1329.780029,30.51
10/13/2000,1374.170044,27.6
10/16/2000,1374.619995,26.790001
10/17/2000,1349.969971,27.84
10/18/2000,1342.130005,28.719999
10/19/2000,1388.76001,25.09
10/20/2000,1396.930054,24.24
10/23/2000,1395.780029,24.690001
10/24/2000,1398.130005,24.280001
10/25/2000,1364.900024,26.65
10/26/2000,1364.439941,28.620001
10/27/2000,1379.579956,26.469999
10/30/2000,1398.660034,25.459999
10/31/2000,1429.400024,23.629999
11/1/2000,1421.219971,24.280001
11/2/2000,1428.319946,23.92
11/3/2000,1426.689941,23.67
11/6/2000,1432.189941,24.52
11/7/2000,1431.869995,24.91
11/8/2000,1409.280029,25.66
11/9/2000,1400.140015,27.200001
11/10/2000,1365.97998,28.530001
11/13/2000,1351.26001,29.059999
11/14/2000,1382.949951,26.809999
11/15/2000,1389.810059,26.15
11/16/2000,1372.319946,25.049999
11/17/2000,1367.719971,24.809999
11/20/2000,1342.619995,27.43
11/21/2000,1347.349976,26.620001
11/22/2000,1322.359985,27.709999
11/24/2000,1341.77002,26
11/27/2000,1348.969971,26.93
11/28/2000,1336.089966,27.639999
11/29/2000,1341.930054,27.49
11/30/2000,1314.949951,29.65
12/1/2000,1315.22998,27.48
12/4/2000,1324.969971,27.780001
12/5/2000,1376.540039,24.99
12/6/2000,1351.459961,25.07
12/7/2000,1343.550049,25.34
12/8/2000,1369.890015,22.41
12/11/2000,1380.199951,23.51
12/12/2000,1371.180054,24.879999
12/13/2000,1359.98999,23.629999
