Date,spy,spy_lag,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
1993-02-02,0.1875,0.25,3.7399899999999207,4.270020000000045,22.199951000000056,32.29992700000025,-6.18994100000009,-0.3000489999999445,-30.79980499999965,39.63085900000078,44.21875
1993-02-03,0.5625,0.1875,0.04000900000011143,5.429992999999968,-3.3000489999999445,-1.2999270000002525,21.770019000000048,0.0,48.29980499999965,-4.5214840000007825,44.40625
1993-02-04,0.0,0.5625,4.640013999999951,2.3500360000000455,45.20019599999978,37.39990200000011,10.069946000000073,-0.1999510000000555,54.5,-82.76953199999843,44.96875
1993-02-05,0.0,0.0,2.359986000000049,-3.200012000000015,42.59985299999971,42.5,27.84997599999997,11.900024999999914,-40.0996099999993,109.25976599999922,44.96875
1993-02-08,-0.15625,0.0,-0.6199960000001283,-5.380004999999983,25.40014700000029,28.200072999999747,3.0200199999999313,16.099975000000086,44.4003900000007,-75.75,44.96875
1993-02-09,-0.15625,-0.15625,-0.8999929999999381,-4.040038999999979,-4.600097999999889,-16.800047999999606,-7.7299809999999525,24.5,-1.600097999999889,-239.29101599999922,44.8125
1993-02-10,0.125,-0.15625,-2.710021999999981,-2.3999630000000707,-22.89990200000011,1.0,3.6800539999999273,6.699951999999939,53.39990299999954,98.03125,44.65625
1993-02-11,0.09375,0.125,0.8800039999999854,1.9799800000000687,-2.200195999999778,12.200072999999747,16.269897000000128,8.5,23.60009799999989,98.03125,44.78125
1993-02-12,-0.40625,0.09375,1.4500130000000127,-0.9500120000000152,10.30004899999949,-10.100097999999889,-9.429931000000124,4.40002400000003,3.700195000000349,-267.17968699999983,44.875
1993-02-16,-1.0,-0.40625,-3.130004999999983,-13.0,-30.5,-13.900023999999803,-23.330077999999958,15.59997599999997,16.60009799999989,-184.4101559999981,44.46875
1993-02-17,0.46875,-1.0,-10.600006000000064,-20.089966000000004,-82.6999509999996,-23.0,4.75,-10.799927000000025,43.0,141.6699210000006,43.46875
1993-02-18,-0.53125,0.46875,-0.6300049999999828,5.049987999999985,2.6999510000000555,39.800047999999606,14.55004800000006,5.6999510000000555,93.19970699999976,-18.359375,43.9375
1993-02-19,0.28125,-0.53125,-1.3699950000000172,-3.210021999999981,-10.0,11.699952000000394,12.400024999999914,-12.300048999999944,-73.19970699999976,7.519531000001734,43.40625
1993-02-22,0.15625,0.28125,2.2799980000000346,-3.389953999999989,20.0,26.09997499999986,-3.8900149999999485,10.200072999999975,131.69970699999976,-186.00976599999922,43.6875
1993-02-23,-0.125,0.15625,1.1300049999999828,-9.619995000000017,20.800048999999944,10.200072999999747,-21.320067999999992,3.400024999999914,-78.5996099999993,50.371093999998266,43.84375
1993-02-24,0.5,-0.125,-0.5799860000000194,-0.46002199999998084,-19.699951000000056,-26.800047999999606,-5.169922000000042,-3.5,35.0,-50.861328000002686,43.71875
1993-02-25,0.21875,0.5,5.9400020000000495,9.71002199999998,33.199951000000056,27.59997499999986,9.03991700000006,1.5,27.0,52.371093999998266,44.21875
1993-02-26,0.125,0.21875,1.63998399999997,6.579955999999925,8.600097999999889,-17.59997499999986,18.06005899999991,2.5999759999999696,85.79980499999965,32.609375,44.4375
1993-03-01,-0.25,0.125,1.0400089999999977,3.270020000000045,5.69995100000051,62.59997499999986,11.349975000000086,29.800048999999944,45.69970699999976,-76.86132899999939,44.5625
1993-03-02,0.6875,-0.25,-1.3800049999999828,-1.5999759999999696,-15.400147000000288,-13.0,10.089966000000004,5.6999510000000555,-45.0996099999993,16.25,44.3125
1993-03-03,0.1875,0.6875,5.899994000000049,9.149963999999954,45.10009799999989,15.200072999999747,-10.979980999999952,-18.90002400000003,91.20019599999978,-28.189452999999048,45.0
1993-03-04,-0.25,0.1875,1.3600159999999164,1.2700190000000475,3.5,-12.200072999999747,-5.0200190000000475,-3.1999519999999393,-24.70019500000035,-61.300781000001734,45.1875
1993-03-05,-0.09375,-0.25,-1.9200139999999806,-0.9000240000000304,-5.100097999999889,20.800048999999944,0.6900629999997818,-9.30004800000006,6.5,38.92968799999653,44.9375
1993-03-08,0.8125,-0.09375,-1.220000999999968,4.130004999999983,5.700195999999778,-12.300048999999944,16.11999600000013,4.59997599999997,-27.599609999999302,830.8515619999998,44.84375
1993-03-09,-0.0625,0.8125,8.550017999999966,6.390014000000065,64.79980400000022,6.4000250000001415,9.640014000000065,16.599975000000086,22.70019500000035,123.41015600000173,45.65625
1993-03-10,0.125,-0.0625,-0.27001899999993384,-0.75,2.700195999999778,5.0,2.5699460000000727,13.800048999999944,-17.20019500000035,-9.738281999998435,45.59375
1993-03-11,-0.53125,0.125,1.9500119999999015,5.239991000000032,6.19995100000051,-22.099976000000197,-5.829956000000266,13.59997599999997,-98.20019500000035,1.708985000001121,45.71875
1993-03-12,-0.125,-0.53125,-2.6499939999999356,-6.020020000000045,-21.6000980000008,-15.800048999999944,-19.910033999999996,0.40002400000003036,-202.39990299999954,132.12890600000173,45.1875
1993-03-15,0.25,-0.125,-3.8700249999999983,6.100037000000043,-28.8999019999992,8.700072999999747,16.310059000000138,-35.09997599999997,-64.89990200000011,57.27929700000095,45.0625
1993-03-16,-0.0625,0.25,1.6000059999999507,3.1599729999999226,14.599852999999712,-0.5,-4.770019999999931,32.900024999999914,76.5,-136.03906299999653,45.3125
1993-03-17,-0.03125,-0.0625,-0.07000800000002982,-3.669983000000002,0.600097999999889,-8.800047999999606,-10.570067999999992,16.299927000000025,8.89990299999954,178.68945299999905,45.25
